# Emergency Corridor Edges (node_id_1, node_id_2, tier)
12908680349,601048013,primary
30254228,8203998879,secondary
cluster_1695282549_387127746,cluster_1695282555_1695282559_7487343260,primary
cluster_1528732109_356295204,cluster_1567435229_690679215,primary
30555746,cluster_126699971_30554977,secondary
1860569744,1860569745,secondary
1695282562,6223865340,primary
30227198,30884341,secondary
30294765,8253104602,tertiary
2235259412,2344645253,secondary
30558545,30558555,secondary
30238032,30243261,primary
4174394697,cluster_1374800915_1374801052,secondary
7252348261,7252348266,primary
30294334,533954387,secondary
690679239,690679240,secondary
1377933417,356295291,secondary
434423052,4596238459,tertiary
12919170685,540312587,secondary
390057402,8119123712,secondary
1695282583,1695282584,primary
2473393657,30312489,secondary
1046599571,1046599625,tertiary
cluster_2697516077_430764639,cluster_615815427_629328233,secondary
30237482,30237483,secondary
1624386754,7017635171,secondary
243338885,6126749210,secondary
30554813,30554852,secondary
30296144,8440529630,tertiary
30558461,30558462,tertiary
2473393788,6326164170,secondary
2681806809,5335313618,secondary
627782651,9416544617,tertiary
1297490070,9769889198,secondary
6423993160,cluster_12703479479_543552982,secondary
30247005,8319500780,secondary
30313162,30313181,tertiary
30237706,cluster_12880645535_1374636541,primary
11226483499,2509167399,primary
1086926705,598224997,secondary
243748972,3439182097,secondary
522579129,cluster_13119458932_2650778287_2650778313_522579231,primary
347344133,8132079775,secondary
12952598281,30312841,secondary
13180378539,530964307,secondary
10814722755,677439927,secondary
323191078,535228401,secondary
2589060116,3376229198,secondary
30558547,339961223,secondary
30617420,31285672,primary
13134439132,26057116,secondary
363877276,481146953,secondary
1156424404,30295493,secondary
1043855099,125935921,primary
1500032695,2334441925,secondary
30314637,cluster_11218778225_11218778227_251543450_687897181,secondary
1043855098,30295406,secondary
8121510030,8379646811,secondary
1889882329,667387220,secondary
12952468147,6916767944,secondary
30253571,3196847751,primary
30237628,30246768,secondary
1312053343,448786031,secondary
30617733,30617734,primary
323169605,376744227,secondary
30617804,950190651,primary
598224643,598224644,tertiary
1299629083,30295834,tertiary
1856466645,269386319,primary
10141741740,cluster_35120255_687897083,secondary
12947560001,cluster_448786030_4525195639_6120152819_6952525518,secondary
30254514,30254515,tertiary
10141723903,557230350,secondary
30294341,533954387,secondary
30247006,8319500780,secondary
293408559,8396779091,secondary
239219222#1-AddedOnRampNode,308672754,secondary
364989976,cluster_1930254000_8119755195,secondary
30689544,4385157799,secondary
1148143947,323161614,secondary
543553141,559417176,secondary
4127392690,4127392691,primary
30313240,30313241,secondary
30617611,30617612,tertiary
1357271792,412370994,primary
30558391,60969501,primary
260723606,30617356,primary
30617389,30617409,primary
1299373046,1299373048,primary
1526542622,5936863414,primary
687897152,874432073,secondary
cluster_2087205005_2087205007,cluster_2914411511_330414541,primary
1000063811,700947151,secondary
2509167399,cluster_30960669_415955413,primary
359238327,420553128,secondary
359238601,420553171,secondary
6932324302,cluster_1365781111_392351136_4151671157,primary
1381852561,1592977859,primary
1551112054,cluster_364719512_6064789701_7223675826_7223675837_#1more,secondary
126797987,126803357,tertiary
219011804,7862216634,secondary
30236720,30236760,secondary
30295288,847727780,tertiary
12945539304,12945539308,primary
1046599615,cluster_1046599674_30295405,secondary
30237689,30558393,primary
1378060284,692263342,primary
359239830,4174384549,secondary
2087205014,31285430,secondary
2115356972,8294355487,tertiary
12351352583,12351352586,primary
5476467950,cluster_1483861162_359235508_5476467951,primary
4473060899,5163777214,secondary
9605043049,9605084690,secondary
412453127,412453967,primary
26057312,559032149,secondary
2984928288,9425441351,secondary
959498807,959498846,primary
3193312157,3888894773,secondary
1126035505,364718311,primary
535228377,535228382,primary
387130477,387130478,tertiary
30295496,395287053,tertiary
559052399,940874209,secondary
2087205021,31285424,secondary
387130487,cluster_1695282555_1695282559_7487343260,primary
30914417,30914422,secondary
506131379,cluster_243345653_30297797_4139413948,secondary
4826672640,cluster_1297490058_1768889590,secondary
412450364,412450365,tertiary
26057131,30242818,secondary
cluster_10173687158_10173687169_2510614164_2510614172_#4more,cluster_1382873554_1418737335,secondary
330417668,535228377,secondary
412464271,9420716633,primary
1621899836,30312835,secondary
7233634023,7233634026,secondary
30238026,30243367,primary
30556539,30556542,secondary
11053219722,30237645,primary
30254224,30254227,secondary
30246702,cluster_11240124255_3386536280_4538123378_4538123419_#1more,primary
2677447201,cluster_2407371630_359979755,primary
4416582822,cluster_13119458932_2650778287_2650778313_522579231,secondary
7254110670,cluster_243346367_243346441,secondary
30242763,30243166,secondary
30242872,30243163,secondary
10042808608,cluster_30243349_3144669232,primary
30237632,30685341,tertiary
30254013,cluster_1381852565_3748616590_690803431,secondary
30294778,30617554,primary
412453971,cluster_5487518335_5487518357_877366727,primary
1043834110,1303430084,secondary
598220565,7198084789,secondary
240982770,240983066,secondary
10796996597,cluster_364719512_6064789701_7223675826_7223675837_#1more,secondary
12953490463,598222648,secondary
30243205,30243245,secondary
30237542,7223680627,secondary
4385152497,506223372,secondary
530924804,530924814,secondary
30237645,30237703,secondary
30312922,30312934,secondary
192071165,30227048,secondary
535233407,60969501,primary
30253204,5764490189,secondary
2334441925,30914373,secondary
1377933376,1377933378,secondary
30553747,30617356,primary
365549364,cluster_11367386983_11367386984,secondary
12896037724,cluster_4414985711_541643976_9605043050,secondary
4346093754,560006201,secondary
535228378,8165483914,secondary
30237482,30294183,secondary
30253978,308733525,secondary
1377806835,693196413,primary
