# Multi-Origin Emergency Corridor Edges
# Origins: 4
# Format: node_id_1,node_id_2,tier
#
30251188,30251189,primary
12945124057,9425441351,primary
12908680346,1394468638-AddedOffRampNode,secondary
30295627,30295719,secondary
30689119,387130494,primary
30294509,540312579,secondary
cluster_3196795880_7234883287,cluster_6100210188_6100210189_6100210191_6100210193_#5more,secondary
412461955,4811094187,primary
30295411,448786031,primary
269379908,269379909,primary
4416582821,4416582829,primary
30251174,30251175,primary
323190133,323190135,secondary
30253395,4552362841,secondary
1046612993,8958179584,primary
412453203,604943448,primary
1303457269,30556269,tertiary
364718315,692247833,secondary
10042808608,cluster_10042802546_10042808607_1312053314_1312053365_#2more,secondary
26198831,30246772,primary
11541136045,3804189850,primary
556364134,cluster_556334940_556335228,secondary
1312053375,420892537,primary
cluster_1126848477_126797989_30243329,cluster_126797324_126803324_426889568,primary
50099103,5402582937,primary
323169605,950161659,primary
10858771109,690811709,primary
126699973,cluster_126699971_30554977,backbone
30237532,59850118,secondary
11370726443,555187278,tertiary
376759381,567474429,primary
598224522,cluster_434423056_598224750,secondary
1437748528,572001922,secondary
2473393839,cluster_2473393793_2473393804_30297530,secondary
30296600,30296620,secondary
30238032,30243261,tertiary
178532853,30585634,secondary
258565861,2665264315,backbone
8109172276,cluster_1297470711_293407668,primary
5264792102,960996565,secondary
243345439,cluster_243345653_30297797_4139413948,primary
12950225081,30243244,primary
312898596,4326986880,primary
30243880,30246772,primary
3134509191,797407467,backbone
12953490473,2689486042,secondary
12884120609,5253055693,primary
4829396040,cluster_126798002_126800097_426891064,primary
59850118,cluster_12919565844_59850119_724126687_8125229482,secondary
30246702,cluster_11240124255_3386536280_4538123378_4538123419_#1more,secondary
416012188,4851324583,primary
30295525,30295544,primary
1207603865,347712540,primary
30236932,30237197,primary
30296305,8194900726,secondary
30253569,667410900,tertiary
30243209,cluster_1126848522_30243208_3184415002_6855299017,tertiary
30294765,8253104602,tertiary
557230376,cluster_2510614158_3754975067,primary
6992861712,cluster_2077949595_251543446_4476005036_6314709584_#1more,secondary
30236932,cluster_11373542255_11373542260_11373542261_12919684467_#1more,secondary
603995035,950190478,tertiary
243342788,247636999,secondary
30296565,30296580,secondary
1382873574,8417604897,tertiary
387127697,387130514,backbone
316877754,462635549,secondary
1381852561,1479422538,backbone
cluster_1297490062_597933808_597933809_7206995893,cluster_3005325687_3005325693,secondary
30243395,915702743,backbone
960625589,960625596,primary
319631021,323159738,primary
604943444,604943448,primary
1710746464,347712484,secondary
312894015,cluster_2578612976_262250647_2810872733_2810990584_#1more,secondary
30242766,30242968,tertiary
5476360970,667395974,primary
30297970,4139413961,tertiary
30254053,30555007,tertiary
60969503,81321297,tertiary
1840720993,269376915,primary
126763470,30242948,primary
30558458,cluster_30555012_308729529,primary
13186824756,5513417720,secondary
622350681,8453810777,primary
2327729212,30238199,primary
cluster_2697516077_430764639,cluster_615815427_629328233,secondary
30295271,314899334,backbone
126763470,402883140,primary
30254013,cluster_1381852565_3748616590_690803431,backbone
cluster_1044543192_3048036440,cluster_1710709046_2578612972,primary
1075221588,30689531,secondary
572001922,572064543,secondary
1375697892,30295105,tertiary
1075648459,6301479267,tertiary
cluster_12532183258_1535825967_1885044532_2053196987_#6more,cluster_1595126752_687897174_9876300964,primary
12898105327,308672735,primary
2757833232,598224520,secondary
2983305742,415716575,primary
10858771108,690811951,primary
330417664,535228364,secondary
cluster_1316679287_30296152,cluster_2684144699_482505212,secondary
4318426016,597933817,secondary
948980790,948980792,tertiary
448700549,cluster_448786030_4525195639_6120152819_6952525518,primary
