# Multi-Origin Emergency Corridor Edges
# Origins: 4
# Format: node_id_1,node_id_2,tier
#
30243348,559424463,secondary
481122427,cluster_12643382751_12643465396_415402216_482511496_#3more,secondary
2017294208,701887661,secondary
8300566607,cluster_257746909_258563358,backbone
30313363,60969497,primary
12923224011,537823729,primary
559052399,559052402,secondary
30294514,364720260,secondary
290060007,290060008,secondary
2750066930,3827694228,primary
30555009,30558456,primary
1299629083,30295834,secondary
2456870326,415716564,primary
567474424,cluster_381009461_381015582,primary
1314467682,6218586069,secondary
359236003,cluster_6100210188_6100210189_6100210191_6100210193_#5more,secondary
10814722755,5264791965,secondary
30295856,30295858,secondary
30247413,30313349,primary
2458217848,cluster_30295131_412446059,primary
387127539,387127546,primary
30254326,442540257,tertiary
1365781145,6939468887,tertiary
1479334732,1479334811,secondary
30312937,cluster_1710709046_2578612972,primary
30242872,30243163,tertiary
30253725,30253977,primary
3306168419,4826156658,secondary
243338866,506151644,secondary
1225051325,556335003,secondary
1298740481,1298740508,secondary
190987751,533662733,backbone
381023034,567477671,primary
cluster_1017920131_1017920189_1312339722,cluster_1017920136_1017920203,secondary
30294324,532408985,tertiary
256484352,619005043,tertiary
4834501653,cluster_1092685773_10967880776_4538123375_4538123416_#3more,tertiary
421265634,423434597,tertiary
1853174677,604937943,secondary
2749832743,6232810585,primary
125935921,31286309,backbone
126699973,cluster_126699971_30554977,primary
30237104,700938101,secondary
323191078,7223673629,primary
cluster_561249956_7289937297,cluster_615815427_629328233,primary
690424476,cluster_4346118755_4346122994_689430467,secondary
2709095336,4436378450,secondary
1261315828,392351069,secondary
30617618,30617622,tertiary
30243888,30246824,tertiary
30617606,30617607,primary
2650585624,30617766,secondary
30689096,8300308153,primary
126656745,30295139,backbone
2331122653,387130524,backbone
598219933,598220122,secondary
30689129,363885077,secondary
604943427,604943434,primary
4471207535,4471207537,primary
1303465750,1303465752,primary
1363702653,1363702666,primary
30294473,8417804017,primary
2238485645,2655293351,primary
30558395,91783971,primary
2268659706,347353582,primary
416886810,544222999,primary
30914373,30914390,tertiary
26057345,533662625,tertiary
30688839,849592994,primary
1233754562,30294668,tertiary
126699973,415884756,primary
1378060299,31285281,primary
603995037,603995049,primary
1551112035,cluster_1377806812_692247839,primary
cluster_1375272349_1375272355_1469237431,cluster_269375412_269376403_6099715643,primary
3822804393,cluster_30618053_698899842,primary
30247433,cluster_301572460_301572949_71643543,backbone
2767286553,619407541,secondary
430535703,430535725,primary
535228371,535228382,secondary
1624386754,251543584,secondary
425768614,604937943,primary
30332577,423434621,secondary
3213093362,6634825854,primary
30243396,915702746,primary
30253296,30253297,primary
30558395,415933631,primary
363888326,618404480,primary
1902553889,7198084790,secondary
30253978,308733525,primary
30253388,597222090,primary
190987745,190987748,primary
30242812,cluster_126800081_213942769_426891063,tertiary
2677447201,30332979,primary
1233754573,30294703,primary
190993191,209084274,primary
26057116,2853451267,backbone
453549579,567474424,primary
30243054,442540235,tertiary
30312830,381897080,tertiary
2469022024,601047985,primary
1043850005,cluster_1043834173_1303430020,primary
506131402,9233468280,primary
627782732,627782733,secondary
423831232,8384718808,secondary
30297369,cluster_3005325724_30243353,primary
59850116,7223680627,primary
415956322,415956323,primary
cluster_1695282549_387127746,cluster_1695282555_1695282559_7487343260,backbone
478867151,cluster_3643380198_3643380203_366065819_415994563,secondary
3521917423,568847334,secondary
256484493,256484505,primary
30237639,30247167,backbone
1377806827,1377806846,primary
575781202,cluster_1622002024_2767286513_536428062,primary
3308698041,627782733,secondary
30295247,412442324,tertiary
30227228,30247097,primary
364669785,364669872,primary
4354482929,668541555,secondary
10182331324,1532752078,primary
770847839,806808404,secondary
597933742,597933744,secondary
1700930631,478875473,primary
243338878,cluster_1940899123_1940899124,primary
2326000392,30243883,tertiary
421263917,434437194,secondary
30253989,30555007,primary
415937924,cluster_30554509_415935008,primary
1043834249,1043834285,secondary
3687119664,478867151,secondary
2593809553,4385157798,tertiary
387130487,614217675,backbone
269379908,6210812030,primary
598225120,598225121,secondary
30227137,30227231,primary
1002675881,692247930,primary
30253315,347712510,primary
622350681,8453810777,primary
1695062667,8379681578,primary
1017920188,cluster_1017920208_12643425260_1312339728_449383072,primary
2494769767,30247089,primary
269377740,269380178,primary
243342778,347340794,primary
2250836674,2481508957,primary
260723993,cluster_1375697911_6960234560,backbone
30253977,308733525,primary
543552988,544223044,secondary
30243877,30243878,tertiary
4192143112,cluster_1297445112_247637112_2810872737_2810990580_#1more,primary
1500032696,9056235029,primary
4826672649,cluster_1297490067_2786421930_2786421958_559410527_#1more,primary
7040359555,8319483157,tertiary
30254230,30254231,backbone
4834985777,493241896,primary
690679241,cluster_1567435229_690679215,secondary
402875760,701887661,secondary
10141741742,cluster_2077949595_251543446_4476005036_6314709584_#1more,secondary
30253991,30333310,primary
30313560,359236005,secondary
1378060284,692263343,primary
12898105357,412457999,primary
30236760,7040359542,primary
12898135218,323158414,primary
126544770,30295139,backbone
2706990672,800172185,primary
415884756,9039923519,primary
4397169303,779227747,primary
1374757788,359234339,secondary
1479422496,7376904298,primary
30294451,530676957,secondary
30688819,30688824,tertiary
30312835,365566117,secondary
211637737,216350784,backbone
1305741263,597933744,secondary
1889882329,667387220,secondary
30254466,30254467,tertiary
12952598284,315486996,secondary
30253204,506223339,tertiary
412398660,91783971,tertiary
1233760230,30294527,secondary
312894013,390879715,secondary
692247854,692807378,tertiary
534332086,959498845,primary
359238601,8193559509,secondary
2456874971,30296305,primary
30295627,598224886,secondary
