# Multi-Origin Emergency Corridor Edges
# Origins: 4
# Format: node_id_1,node_id_2,tier
#
30243042,4837543302,primary
2533347689,cluster_1295286769_615815435,primary
30227228,30247097,primary
1377933405,8119424253,secondary
1377933441,8119424254,secondary
2606686471,cluster_3643380198_3643380203_366065819_415994563,primary
4471207535,4471207537,primary
535228352,535228385,tertiary
12696223063,cluster_415950289_6073196939,primary
412453115,412453971,primary
2264456451,4834501653,tertiary
2767286533,30312841,secondary
5405788370,960996565,secondary
30237016,30237197,primary
387127522,387127590,primary
8119424275,cluster_356295215_8119424276,primary
391086070,391086108,primary
30617611,412450367,tertiary
30297359,6227506599,secondary
1046613006,cluster_1046607407_951016296,backbone
530676956,694837836,secondary
299365802,4592704405,secondary
1551112026,cluster_364719512_6064789701_7223675826_7223675837_#1more,primary
363888331,cluster_2293731616_5313720234,primary
30294703,567478392,primary
243586483,30014919-AddedOnRampNode,primary
30312836,30312837,secondary
1305741256,4834985777,primary
30554613,3207273508,backbone
cluster_3196795880_7234883287,cluster_358505141_7234883292,secondary
30555019,420892540,primary
30295290,387127697,primary
1193548761,1193548816,tertiary
1043834249,448786042,primary
2293731592,cluster_2293731594_2293736615_9605286631,primary
2709095336,9873768080,secondary
30294473,630583121,primary
1313997605,598219933,secondary
126769419,308672528,secondary
4397168781,779227747,primary
603995028,cluster_4416582771_4417346835_6898449421_949285345,primary
30625895,8481154201,primary
126679135,30553749,primary
692247854,cluster_1377806812_692247839,secondary
401870564,5264791964,secondary
cluster_1592978370_2869959981,cluster_2869959982_387127694,backbone
1225051373,364680673,primary
293302298,415402209,secondary
30295338,30689140,backbone
1169009527,cluster_434437191_9388663514,secondary
598224520,598224597,primary
12898105397,1393379546-AddedOnRampNode,primary
1297809315,4549311789,secondary
1303465750,1303465752,primary
603995037,603995049,primary
26057076,4549272595,primary
30243877,30243878,primary
30689094,3823645381,primary
1520862186,9090670821,primary
8119152611,cluster_1374800911_8119152610,secondary
387127454,619005043,primary
412458358,8384718808,primary
30314678,cluster_12532183258_1535825967_1885044532_2053196987_#6more,secondary
30294437,535657125,secondary
12919353921,cluster_1695282547_2676998918_6853738185,primary
12953490458,30618097,secondary
269382573,364816292,secondary
11256490151,8148449203,primary
cluster_415994560_481122563,cluster_478867470_8530300628,secondary
288022712,535228382,tertiary
1298461682,4436287114,secondary
30558221,cluster_30247395_30558252_8181153235_8530284756,primary
323190137,cluster_415718630_415718632,secondary
30253978,308733525,primary
30238030,442540240,backbone
13197779091,4212111673,primary
627782657,627782749,primary
30254227,3047640929,primary
2077949588,cluster_30294466_3754949352_3754949353_3754949354,secondary
690812102,cluster_30960627_9408480017,primary
1000063828,690411229,secondary
330417405,330417666,secondary
247637117,347718255,primary
cluster_1479161820_5278618160_5278618443,cluster_30243128_7866434043_7866434044,primary
1017920073,cluster_12901275356_319630542_319630543_7546057082,primary
4827417960,cluster_2767286510_30312828_536428053,backbone
1300196926-AddedOnRampNode,191060378,primary
cluster_1297490062_597933808_597933809_7206995893,cluster_3005325716_3005325720,primary
1938218690,1938243778,secondary
1938218690,689442435,secondary
30238198,30246669,primary
269379907,30558433,primary
30294181,511123413,tertiary
395305579,434464804,secondary
2148896035,559052399,secondary
668513977,994071438,secondary
2574632147,8990571961,secondary
12898105398,12898105400,primary
30296310,330413164,secondary
1622039331,598220048,secondary
60969475,60969476,tertiary
3825223113,614217675,backbone
601047993,601048007,primary
30236720,30236761,primary
12945124067,18524314-AddedOffRampNode,primary
30237640,30237698,backbone
12815238993,434487433,primary
425768614,425768618,primary
9873768080,cluster_1313997591_1313997602_4979138769,secondary
1303465780,364670492,tertiary
8300566607,cluster_257746909_258563358,backbone
1086926758,6039148297,secondary
12945124057,21638920,primary
6227904984,cluster_364992715_565479524,secondary
30253494,30254222,backbone
12898105391,1393379546-AddedOffRampNode,primary
30242817,30242818,tertiary
cluster_561249956_7289937297,cluster_615815427_629328233,backbone
30238030,30253494,backbone
30243322,30243366,tertiary
30254080,30254081,tertiary
1396408886,30242960,tertiary
783747959,790034783,primary
30297454,cluster_10858526497_10858526500_441668045_544222987,tertiary
126679133,30254517,tertiary
12898135201,2456870303,primary
10177414029,10177414030,primary
30554968,30554969,tertiary
412370062,7679659712,primary
26057388,8173071606,primary
1532752077,1532752078,primary
597212245,cluster_2578612976_262250647_2810872733_2810990584_#1more,primary
30688836,cluster_8412738277_8412738278,primary
30237615,30237635,primary
364669779,8384718808,primary
421265634,423434597,tertiary
4130763475,4416582821,primary
1357271844,2509167399,primary
4826672649,cluster_1297490067_2786421930_2786421958_559410527_#1more,primary
1303465750,30333337,primary
30295135,31285672,primary
453549579,567474424,primary
1357271792,359097332,primary
2269130822,cluster_11367724951_126812839_126812841_6385898256,tertiary
1311619368,cluster_1311619445_5260740738,primary
30294473,8417804017,primary
1311770048,442540251,primary
412398656,412398657,tertiary
359236003,cluster_6100210188_6100210189_6100210191_6100210193_#5more,secondary
1094870540,430764140,tertiary
30295712,30295841,secondary
3687119664,415402209,secondary
1311619368,301572821,primary
330413164,462641391,secondary
cluster_11119020288_11158624378_12150393497_448703647_#1more,cluster_1303440706_4472629999_4472630002,tertiary
30296018,30296038,secondary
687897145,687897156,secondary
1400544019,7042178674,primary
3822888097,3825223113,primary
30295493,395285930,tertiary
30625896,8481154201,primary
1086393596,1315972413,secondary
30617347,5241749027,primary
30242816,30242817,tertiary
392351456,cluster_561249956_7289937297,backbone
1400544022,30227233,primary
412458357,412458358,primary
366065823,415402206,secondary
30914511,3865124116,tertiary
219009535,219011804,primary
30247007,30247027,primary
10171890314,cluster_3822859920_4189406778,primary
30253203,5764490189,primary
421263917,434437194,secondary
1233754631,556335003,tertiary
30243876,30243877,tertiary
13269389030,cluster_190985498_190985499_533663031,backbone
2628897485,387127584,primary
30333329,cluster_1303465751_1303465757,backbone
1454439246,331356237,primary
cluster_1357271811_30960813_417604839_417605950_#1more,cluster_412370999_412371000,primary
2344645253,356295256,secondary
390879715,543552887,secondary
30558391,60969501,primary
4995013511,4995013515,secondary
312894381,543552912,primary
668477476,cluster_4954449218_7221265294,secondary
4834501659,cluster_11240124255_3386536280_4538123378_4538123419_#1more,tertiary
30554840,359099649,primary
30296620,462635549,secondary
1100295241,7507211481,primary
2606686567,cluster_1126998877_1126998911_12953261509,tertiary
363888331,618404480,primary
2593809553,4385157798,tertiary
998615843,cluster_30294478_5264614128_7223680633,primary
2757833232,598224512,primary
30558219,cluster_30558292_412549139,primary
1695062667,8379681578,primary
256484485,3748616610,primary
1117832656,416012211,primary
30297371,30297372,secondary
2881600611,7376904297,backbone
12952468147,12952468148,secondary
12953261544,cluster_482505205_8530300629_8530300631,secondary
30960821,412549129,primary
12898105357,34397845-AddedOffRampNode,primary
2020404320,960619341,primary
2986603865,395285930,secondary
4212111673,4212111675,tertiary
30294192,539147483,tertiary
4827417964,cluster_1622002024_2767286513_536428062,backbone
5264792102,960996565,secondary
9739474150,cluster_2293731658_4436952954,primary
30556411,4675085043,primary
1141475343,347353580,backbone
30558219,412370062,primary
12901275342,4922624387,primary
4592704417,4600193563,secondary
126699973,415884756,primary
2450895997,cluster_615815434_629327975,primary
1401857363,1401857392,primary
240978795,506131379,primary
363888331,4922624387,primary
381897060,4827417960,backbone
30242965,cluster_1864143460_250794421_431481328_9449729915,primary
10893766826,30243210,tertiary
12643425281,cluster_1139082290_1139082295_319630104_8550439929,primary
561521686,6916767944,secondary
