link,t,x,delta_t,delta_x,q,k,v
-1191414433,0,0,120,30,0.125,0.020833333333333322,6.0000000000000036
-1191414433,0,30,120,30,0.125,0.02083333333333333,6.000000000000002
-1191414433,120,0,120,30,0.25,0.05208333333333335,4.799999999999999
-1191414433,120,30,120,30,0.25,0.041666666666666664,6.0
-1191414433,240,0,120,30,0.4583333333333333,0.10995370370370372,4.168421052631579
-1191414433,240,30,120,30,0.4444444444444445,0.07407407407407408,6.0
-1191414433,360,0,120,30,0.125,0.020833333333333308,6.000000000000007
-1191414433,360,30,120,30,0.1388888888888889,0.02314814814814817,5.999999999999995
-1191414433,480,0,120,30,0.08333333333333333,0.01388888888888889,5.999999999999999
-1191414433,480,30,120,30,0.08333333333333333,0.01388888888888889,5.999999999999999
-1191414433,600,0,120,30,0.041666666666666664,0.006944444444444445,5.999999999999999
-1191414433,600,30,120,30,0.041666666666666664,0.006944444444444445,5.999999999999999
-1191414433,720,0,120,30,0.0,0.0,6.0
-1191414433,720,30,120,30,0.0,0.0,6.0
-1191414433,840,0,120,30,0.041666666666666664,0.006944444444444445,5.999999999999999
-1191414433,840,30,120,30,0.041666666666666664,0.006944444444444445,5.999999999999999
-1191414433,960,0,120,30,0.2916666666666667,0.04861111111111111,6.0
-1191414433,960,30,120,30,0.2916666666666667,0.04861111111111108,6.000000000000004
-1191414433,1080,0,120,30,0.07916666666666666,0.013194444444444444,6.0
-1191414433,1080,30,120,30,0.041666666666666664,0.006944444444444445,5.999999999999999
-1191414433,1200,0,120,30,0.4569444444444445,0.09236111111111099,4.947368421052638
-1191414433,1200,30,120,30,0.4583333333333333,0.07638888888888896,5.999999999999994
-1191414433,1320,0,120,30,0.17222222222222222,0.0486111111111111,3.5428571428571436
-1191414433,1320,30,120,30,0.20833333333333334,0.034722222222222286,5.999999999999989
-1191414433,1440,0,120,30,0.0,0.0,6.0
-1191414433,1440,30,120,30,0.0,0.0,6.0
-1191414433,1560,0,120,30,0.20833333333333334,0.03472222222222211,6.0000000000000195
-1191414433,1560,30,120,30,0.20833333333333334,0.034722222222222224,6.0
-1191414433,1680,0,120,30,0.20833333333333334,0.03472222222222247,5.999999999999958
-1191414433,1680,30,120,30,0.20833333333333334,0.03472222222222208,6.000000000000025
-1191414433,1800,0,120,30,0.375,0.07986111111111112,4.695652173913043
-1191414433,1800,30,120,30,0.375,0.06250000000000001,5.999999999999999
-1191414433,1920,0,120,30,0.3333333333333333,0.09691358024691359,3.4394904458598723
-1191414433,1920,30,120,30,0.3097222222222222,0.06905864197530882,4.484916201117306
-1191414433,2040,0,120,30,0.44166666666666665,0.1401388888888889,3.1516352824578786
-1191414433,2040,30,120,30,0.4402777777777778,0.11145833333333255,3.950155763239904
-1191414433,2160,0,120,30,0.43333333333333335,0.11375,3.8095238095238093
-1191414433,2160,30,120,30,0.4583333333333333,0.08564814814814792,5.351351351351365
-1191414433,2280,0,120,30,0.125,0.020833333333333332,6.0
-1191414433,2280,30,120,30,0.125,0.02083333333333352,5.999999999999947
-1191414433,2400,0,120,30,0.1375,0.022916666666666665,6.000000000000001
-1191414433,2400,30,120,30,0.125,0.020833333333333332,6.0
-1191414433,2520,0,120,30,0.19583333333333333,0.03941798941799,4.968120805369055
-1191414433,2520,30,120,30,0.18472222222222223,0.037566137566137296,4.9172535211267965
-1191414433,2640,0,120,30,0.2916666666666667,0.07013888888888868,4.158415841584171
-1191414433,2640,30,120,30,0.3152777777777778,0.05879629629629659,5.362204724409423
-1191414433,2760,0,120,30,0.2263888888888889,0.05941358024691358,3.81038961038961
-1191414433,2760,30,120,30,0.17777777777777776,0.04012345679012345,4.430769230769231
-1191414433,2880,0,120,30,0.4402777777777778,0.13652777777777778,3.2248219735503563
-1191414433,2880,30,120,30,0.4652777777777778,0.10694444444444387,4.350649350649374
-1191414433,3000,0,120,30,0.25,0.052546296296296084,4.757709251101341
-1191414433,3000,30,120,30,0.27361111111111114,0.04849537037037055,5.64200477326967
-1191414433,3120,0,120,30,0.3333333333333333,0.06134259259259281,5.4339622641509235
-1191414433,3120,30,120,30,0.29444444444444445,0.05185185185185167,5.678571428571448
-1191414433,3240,0,120,30,0.375,0.07291666666666582,5.142857142857202
-1191414433,3240,30,120,30,0.41388888888888886,0.07453703703703747,5.552795031055868
-1191414433,3360,0,120,30,0.0,0.0,6.0
-1191414433,3360,30,120,30,0.0,0.0,6.0
-1191414433,3480,0,120,30,0.0,0.0,6.0
-1191414433,3480,30,120,30,0.0,0.0,6.0
-1191414433,3600,0,120,30,0.125,0.020833333333333606,5.999999999999922
-1191414433,3600,30,120,30,0.125,0.02083333333333317,6.000000000000047
-1191414433,3720,0,120,30,0.125,0.020833333333333426,5.999999999999973
-1191414433,3720,30,120,30,0.125,0.020833333333333277,6.000000000000016
-1191414433,3840,0,120,30,0.24027777777777776,0.06111111111111111,3.9318181818181817
-1191414433,3840,30,120,30,0.20833333333333334,0.040972222222222215,5.084745762711865
-1191414433,3960,0,120,30,0.09305555555555554,0.015509259259259679,5.999999999999837
-1191414433,3960,30,120,30,0.125,0.020833333333332836,6.000000000000143
-1191414433,4080,0,120,30,0.0,0.0,6.0
-1191414433,4080,30,120,30,0.0,0.0,6.0
-1191414433,4200,0,120,30,0.4166666666666667,0.08003917378917338,5.205784204671884
