# Multi-Origin Emergency Corridor Edges
# Origins: 4
# Format: node_id_1,node_id_2,tier
#
31285281,692247930,primary
30312489,cluster_1621904464_3075809787_3956071721,primary
30554042,30554043,backbone
598220048,cluster_10617762299_561521683,secondary
1374800932,cluster_1374800951_4174370011_4174394695,secondary
1840720993,269376915,primary
190986445,cluster_190985498_190985499_533663031,primary
30242951,30242952,tertiary
243341175,243341274,secondary
1474941218,847727786,backbone
364819031,cluster_1856466592_1856466753_8173456628,primary
544223041,cluster_12703479479_543552982,secondary
30294515,30313440,secondary
1377806906,693196406,secondary
434423048,7198084789,secondary
677439927,9397904794,secondary
30294338,30294339,secondary
12516839218,30248549,primary
1303363168,1303363169,primary
323190135,cluster_415718630_415718632,secondary
1374327939,cluster_359237300_8529602573,secondary
1046607396,cluster_1174708055_1588285136,backbone
323190133,323190146,secondary
1479334897,30243361,primary
1017920257,416012192,primary
9769889198,993061632,secondary
392351072,cluster_1365781111_392351136_4151671157,backbone
12919353918,3889234274,primary
243342788,30312919,secondary
30237867,30237873,primary
690424476,cluster_4346118755_4346122994_689430467,primary
30558253,cluster_30247395_30558252_8181153235_8530284756,secondary
2689486042,30618097,secondary
323190135,323190137,secondary
2293731592,cluster_2293731594_2293736615_9605286631,primary
126656745,30295139,backbone
387127467,3994528973,primary
598224742,598224744,secondary
30236779,30248252,secondary
30254053,30555007,tertiary
980160394,cluster_30294696_3055187868,primary
2235259412,2235259451,secondary
30253439,30253449,primary
1307272002,847727786,backbone
1982893114,390227221,secondary
30242970,3752208202,primary
247637117,5782967886,secondary
2690159866,30555007,tertiary
30617804,950190651,primary
347353578,347353580,secondary
cluster_30294325_530924816,cluster_532408981_539147486,secondary
420553150,420553171,secondary
269379909,269379910,primary
30914417,530687854,primary
269377740,269380178,secondary
30558391,60969501,primary
1479334855,cluster_30243319_3181254555_6762205354_8530036654,primary
2706990669,30617737,primary
10814722755,677439927,secondary
258359388,cluster_356295215_8119424276,secondary
26198831,30246772,primary
12919353921,cluster_1695282547_2676998918_6853738185,primary
9929575860,cluster_2473421347_416885093_4881689081,primary
5368233710,7368402486,secondary
462635529,462635542,secondary
3136662657,3136662659,secondary
30294532,30294558,secondary
1377806863,1377806906,secondary
30243053,442540235,tertiary
12945625953,258562674,primary
10182331328,5166503556,primary
30294674,364670546,secondary
2197824480,2473393839,secondary
30246674,8180094958,primary
1378894231,442540269,primary
11243529761,21638922,primary
12815238993,cluster_1017920208_12643425260_1312339728_449383072,primary
412549133,414683100,secondary
1622039316,4338253064,primary
2473393838,cluster_11209803266_2473393849_2473405267_2767286491,tertiary
359100661,359100759,primary
126763470,393144498,primary
347712484,4715362411,secondary
572001922,572064543,secondary
847727781,847727782,primary
2650778307,2650778327,backbone
30254370,30254393,tertiary
30242975,cluster_30242976_71709940,backbone
1381852561,1479422538,backbone
11887769216,687897156,secondary
30294437,535657125,secondary
21638920,21638921,primary
448786037,cluster_448786030_4525195639_6120152819_6952525518,primary
30294854,31285558,tertiary
30243394,30254029,backbone
387127524,cluster_863733312_863733525,primary
1225051325,556364134,secondary
30558296,535233407,tertiary
363888331,618404480,secondary
1043834293,5248043033,primary
416885092,416886810,secondary
30242760,30243212,primary
434423055,598225219,secondary
1375310919,2495598155,tertiary
30294669,556364163,primary
387130505,417972224,tertiary
559410526,559410530,secondary
30617794,30617795,primary
2473393779,2473393781,secondary
30243363,6875262056,primary
358505162,4589037149,secondary
2020374102,769906807,secondary
30298888,30298889,primary
430535724,442540276,primary
1313997605,598219933,secondary
1044510638,2473393779,primary
30243114,30555002,tertiary
30294784,cluster_432509967_432510087,secondary
6634825854,8173291489,primary
2262659967,30312487,tertiary
2494769767,30247089,primary
1437748518,50101968,secondary
1169009518,319429258,secondary
9634936201,9661025606,primary
30295290,387127697,backbone
478861422,cluster_1017920131_1017920189_1312339722,primary
1086926705,2687171808,secondary
30238027,cluster_301572459_301572957_71643542,backbone
2540121480,cluster_30294552_359547244,secondary
258359282,390227221,secondary
416886810,544222999,secondary
420892483,4992822660,primary
12945124073,1394468613-AddedOffRampNode,primary
258359387,356295228,secondary
539147483,539147484,secondary
359235499,359235500,secondary
387130524,cluster_30295394_387130495_387130522,primary
1100295248,2293731592,primary
572001919,572085949,secondary
2334441924,9286121170,tertiary
2578612975,30312919,secondary
5335313618,cluster_420553141_420553180,secondary
30254220,3207273509,backbone
3048077340,cluster_1044543192_3048036440,primary
2018512616,2537106454,primary
3889234274,cluster_1695282547_2676998918_6853738185,primary
535233519,5937668161,primary
12914780181,688393862,secondary
1225051373,364680673,secondary
7160352246,cluster_2407371630_359979755,primary
2331122650,2868282080,primary
695092723,695117641,primary
12896037724,cluster_4414985711_541643976_9605043050,primary
4127392690,4127392691,primary
573420821,687897107,secondary
126656745,cluster_11256490152_126658000,backbone
330414111,692807422,primary
1437748518,2686563657,secondary
359100760,690811951,primary
356295240,359236400,secondary
2650778289,cluster_13119458932_2650778287_2650778313_522579231,backbone
412453115,412453971,primary
3213093362,6634825854,secondary
30252163,30254242,tertiary
5264791965,cluster_13274010916_13274010917_5264791770,secondary
597239682,619422387,secondary
1374800938,cluster_1374800951_4174370011_4174394695,secondary
11243529761,11369675082,primary
2293731618,cluster_1303430372_30332641,tertiary
692247854,cluster_1377806812_692247839,secondary
412444488,cluster_2869959998_412444660,backbone
622350681,8453810777,primary
2533347689,cluster_1295286769_615815435,primary
5476360970,667395974,primary
1312053343,448786031,primary
390057402,8119123712,secondary
2686563657,30296342,secondary
330414226,535228394,secondary
30254013,30254014,tertiary
30295549,434423009,secondary
30295105,30553748,primary
1457780109,1457780180,primary
1526542623,412453978,primary
30313438,30313439,secondary
30247426,30556617,tertiary
3772706298,387127681,primary
537823321,537823705,primary
1307297617,416885092,primary
390227134,5253055693,primary
243336862,243347086,primary
539147484,539147487,secondary
30314648,60591106,secondary
2869959974,4931851569,primary
30238018,4840145821,primary
315486997,618431744,secondary
603995049,950190540,primary
412453201,412453202,primary
3044253138,543553128,secondary
30295627,598224886,secondary
243338863,30313010,tertiary
2293731618,cluster_2293731616_5313720234,secondary
359236005,841867107,secondary
30237772,30237867,primary
134575586#1-AddedOffRampNode,955341779,primary
559052399,940874209,primary
30960808,535233455,primary
258359283,258359284,secondary
100409765,cluster_100409764_2264150798,tertiary
256484473,30295384,backbone
365565833,cluster_1297445169_2810872725_365564404_415989799,secondary
876277535,876277542,primary
1479422584,950190651,primary
430535703,6762254081,primary
30253494,442540242,backbone
252826185,30238006,primary
2689711017,387127524,primary
50099103,5402582937,primary
330418565,cluster_1984002392_330418566,secondary
30295531,598224398,secondary
30556617,5094317308,primary
10171890314,cluster_3822859920_4189406778,primary
7040359552,7040359553,secondary
30554044,30556539,backbone
30295099,30295100,primary
30314630,59749808,secondary
12256248810,30332656,primary
30237698,4823547657,backbone
3521917425,cluster_556334940_556335228,secondary
1116623921,31285283,primary
356295237,356295240,secondary
319429258,cluster_12645457284_30295475,secondary
219026483,30243125,primary
1621899825,30253210,tertiary
1477718847,30294184,primary
30313348,cluster_1457780310_678297076,primary
30238030,442540240,primary
622350679,cluster_1935827759_6002052354_622350685,primary
4600193562,752368105,secondary
3306168426,3306168428,secondary
1377806906,cluster_1377806812_692247839,secondary
668512260,994071419,primary
cluster_1528732109_356295204,cluster_356295200_690679209,primary
434437196,8225229387,tertiary
387130487,cluster_1695282555_1695282559_7487343260,backbone
616356152,6932324302,backbone
2757843069,434471890,secondary
12952468147,12952468148,secondary
6875262057,6875262063,primary
11256490149,cluster_11256490152_126658000,backbone
11541136045,3804189850,primary
243341157,cluster_243341156_4171977898,secondary
10896052337,cluster_10896052336_30238021,primary
10141741738,cluster_1555628857_35120259,secondary
5254788638,cluster_2869959982_387127694,backbone
290060063,4345461389,secondary
30558573,60591112,secondary
401798223,cluster_11297593875_30618094_319429060_8176741364,secondary
10778097152,91783971,secondary
583257390,cluster_12947788312_1337087205_412453236_6898609742,primary
4538123596,cluster_1009334217_30238385_4538123437,tertiary
1086926627,363881327,secondary
1148143947,323161614,secondary
2690159863,3376229198,secondary
1840720998,cluster_11877585718_126781133_1377806816,secondary
390227083,390227118,secondary
879356690,879356706,primary
2075448033,2454108931,tertiary
540312579,630583121,secondary
30553758,6835613372,backbone
258565859,cluster_257746909_258563358,backbone
1710746464,347712510,secondary
539147488,539147489,secondary
243342790,2578612975,primary
30332643,cluster_1759662344_30332756,primary
30295713,30295714,secondary
30689104,3822859923,tertiary
30227030,cluster_100409764_2264150798,tertiary
12397401715,6900562796,secondary
12908680345,243341274,secondary
1377933378,1377933417,secondary
356295267,681936376,secondary
1017920073,1017920205,tertiary
1255304807,950161659,primary
30295163,30295247,tertiary
13203541701,364816292,primary
426881065,537823321,primary
364669543,412458147,primary
1437748521,2606686453,secondary
247637070,247637113,primary
243339565,2593809556,backbone
4127392690,959498845,primary
30689552,cluster_30689551_347353583,secondary
359238327,359239830,secondary
4834985777,493241896,primary
192039415,cluster_4538123381_6833338778_89148866,primary
258562666,4416582754,primary
1365781180,4416582824,primary
4337235666,cluster_2148865171_689999085,primary
359234311,359236960,secondary
1933546287,376748008,primary
390057400,390057402,secondary
420553150,420553161,secondary
1375697892,30295105,tertiary
1377933417,8119424274,secondary
30295101,30295102,primary
30294501,30294509,secondary
3827694228,457887476,primary
30617761,30617811,primary
2505242600,366065824,secondary
30294335,30294337,secondary
420553182,cluster_420553141_420553180,secondary
125935921,31286309,primary
30294487,59850112,secondary
11970158816,841867132,secondary
30294527,8565580821,secondary
2750066930,3827694228,primary
30237640,30237698,backbone
12908881403,347712446,secondary
243342790,243342791,primary
3306168427,3306168428,secondary
1311770051,344992889,backbone
1695282581,cluster_1695282555_1695282559_7487343260,tertiary
1940624170,1940624171,secondary
387127515,387127540,primary
4880337146,8109172276,primary
190986445,190987751,primary
30294515,30294516,secondary
364718311,692247833,secondary
1940555303,30312952,secondary
359240328,cluster_1984002392_330418566,secondary
5393693518,cluster_243343389_4485344000_4485344001,secondary
258565861,2665264315,backbone
1297744704,1382873567,primary
30343487,4260777637,primary
1551112035,cluster_1377806812_692247839,secondary
225859994,cluster_243343389_4485344000_4485344001,secondary
1622002046,347353579,secondary
2578612979,262250645,primary
363878511,598224742,secondary
1437748528,572001922,secondary
448786036,448786037,primary
30243878,4834209607,primary
2327729212,30238199,primary
4552362841,544223024,secondary
30243112,30555002,tertiary
359235505,359238598,secondary
4192143119,689999131,primary
3184350873,cluster_219018793_219018794_426891065,primary
