link,start_node,end_node,traffic_volume,vehicles_remain,free_travel_time,average_travel_time,stddiv_travel_time,delay_ratio,length
-1191414433,9042478734,3213093362,1350,5,10.5,12.770833333333334,5.087558012227259,1.2162698412698414,63
-237652077#2,5260601900,7806252248,1030,0,0.8571428571428571,4.970634920634921,1.0048292938608814,5.799074074074075,12
-237659844#6,1311619488,1362899971,1495,0,19.285714285714285,21.135416666666668,9.212171448826783,1.0959104938271607,270
-257568505#2,1362899971,5260292356,2550,0,4.0,5.264583333333333,1.3038920770566522,1.3161458333333333,56
-294085186#2,10896077231,1311770053,805,0,0.42857142857142855,14.32827380952381,21.4102961732048,33.43263888888889,6
-397481042#1,12884439748,1311619340,1255,0,0.6428571428571429,5.664980158730159,3.4272369798327134,8.812191358024691,9
-544164277#2,1311619340,5260292356,2075,0,3.857142857142857,5.421230158730158,1.5019460034791847,1.4055041152263372,54
-544617969,5260601900,1311619488,1355,0,3.2142857142857144,5.636904761904762,2.530749107099299,1.7537037037037035,45
-908375867#1,1311770053,5375631705,505,0,3.7142857142857144,5.057738095238095,0.744564344382116,1.3616987179487179,52
108166018,1311773884,8197554957,790,0,0.16666666666666666,4.973148148148149,0.35925329319215743,29.838888888888896,1
1083818630#0,30243367,30243366,3560,0,8.214285714285714,11.444196428571427,6.87945796862961,1.3932065217391303,115
1083818630#4,30243366,30237641,3270,0,8.5,9.136458333333334,3.021213876892954,1.0748774509803922,119
1094457471#0,30237697,12953119985,965,0,5.571428571428571,6.294246031746032,2.166211568795526,1.1297364672364674,78
1112801401#0,30247434,8214234926,1220,0,4.285714285714286,5.22420634920635,1.0483834843267612,1.2189814814814817,60
1185662990#0,30243323,cluster_301572306_301572951_71643537,2975,5,11.357142857142858,26.20193452380952,21.083599016212542,2.3070885744234797,159
1191414433,3213093362,9042478734,1030,0,10.5,24.211111111111112,40.70375547632606,2.3058201058201058,63
1243743574#0,6634825854,3213093362,1435,0,3.2857142857142856,6.013789682539683,3.791788296320252,1.830283816425121,46
1243743574#2,3213093362,8655000700,1745,0,4.642857142857143,5.155257936507937,0.8703443465326353,1.110363247863248,65
