orig,dest,total_trips,completed_trips,free_travel_time,average_travel_time,stddiv_travel_time,shortest_distance,average_distance_traveled_per_veh,stddiv_distance_traveled_per_veh
6874436644,12884439749,20,0,0.0,0.0,0.0,0.0,0.0,0.0
6634825854,8097436674,25,0,0.0,0.0,0.0,0.0,0.0,0.0
5761245141,9042478734,5,0,0.0,0.0,0.0,0.0,0.0,0.0
1311619488,30247432,15,15,9.571428571428571,15.0,0.0,134.0,134.0,0.0
1311619340,8235926364,15,0,0.0,0.0,0.0,0.0,0.0,0.0
442540300,1362899971,25,25,7.928571428571429,20.0,4.47213595499958,111.0,111.0,0.0
4823547657,cluster_30237612_6670690974,20,0,0.0,0.0,0.0,0.0,0.0,0.0
11861295890,555187275,15,0,0.0,0.0,0.0,0.0,0.0,0.0
30243367,30243370,5,0,0.0,0.0,0.0,0.0,0.0,0.0
12884439749,30237772,30,30,31.64285714285714,65.83333333333333,21.68268638542948,431.0,431.0,0.0
30237616,555187275,40,40,88.47619047619048,120.625,23.905739373631597,650.0,960.0,0.0
12884439746,30238025,35,35,68.87500000000001,105.71428571428571,16.781914463529613,787.0,878.0,0.0
12884439749,3213093362,10,10,21.125,90.0,5.0,190.0,190.0,0.0
8235926364,6985826711,30,0,0.0,0.0,0.0,0.0,0.0,0.0
cluster_301572460_301572949_71643543,10896077231,35,0,0.0,0.0,0.0,0.0,0.0,0.0
5260601900,cluster_301572306_301572951_71643537,20,20,57.857142857142854,70.0,6.123724356957945,801.0,810.0,0.0
30247167,30237615,10,10,77.375,85.0,0.0,592.0,820.0,0.0
8235449359,30237638,30,0,0.0,0.0,0.0,0.0,0.0,0.0
12884439756,4222882539,15,15,15.375,30.0,8.16496580927726,123.0,123.0,0.0
1311773884,359104407,40,40,28.64285714285714,57.5,11.4564392373896,401.0,401.0,0.0
1812294093,4222882539,5,0,0.0,0.0,0.0,0.0,0.0,0.0
30237613,9223593605,30,30,39.36904761904762,85.0,17.07825127659933,465.0,465.0,0.0
cluster_301572459_301572957_71643542,cluster_301572399_301572961_71643538,5,5,14.625,15.0,0.0,117.0,117.0,0.0
30237639,6762205322,40,40,67.82142857142857,94.375,18.614090764794287,753.0,760.875,2.9764702249476644
30243367,12884439757,10,0,0.0,0.0,0.0,0.0,0.0,0.0
1311770053,2989836087,20,0,0.0,0.0,0.0,0.0,0.0,0.0
30237697,1311619368,5,5,67.94642857142858,85.0,0.0,815.0,817.0,0.0
30247432,8214234926,20,20,46.07142857142857,60.0,3.5355339059327378,645.0,645.0,0.0
4222882539,8097436674,5,5,78.55357142857142,95.0,0.0,883.0,883.0,0.0
8210106342,4222882539,25,0,0.0,0.0,0.0,0.0,0.0,0.0
8224714481,8097436674,30,30,141.69642857142856,175.0,21.213203435596427,1285.0,1285.0,0.0
