time,edge,num_veh,speed,free_flow_speed
5,-1191414433,0,6,6
5,-237652077#2,0,14,14
5,-237659844#6,0,14,14
5,-257568505#2,0,14,14
5,-294085186#2,0,14,14
5,-397481042#1,0,14,14
5,-544164277#2,0,14,14
5,-544617969,0,14,14
5,-908375867#1,0,14,14
5,108166018,0,6,6
5,1083818630#0,0,14,14
5,1083818630#4,0,14,14
5,1094457471#0,0,14,14
5,1112801401#0,0,14,14
5,1185662990#0,0,14,14
5,1191414433,0,6,6
5,1243743574#0,0,14,14
5,1243743574#2,0,14,14
5,132556736,0,6,6
5,1387061746#0,0,6,6
5,1408525896,0,8,8
5,1408525898#0,0,14,14
5,1408525899#0,0,14,14
5,1408687435#0,0,14,14
5,1408687438#0,0,14,14
5,1409641100#0,0,14,14
5,1409641100#1,0,14,14
5,1409641101#0,0,8,8
5,1409641101#4,0,8,8
5,1409641101#8,0,8,8
5,1409649739#0,0,14,14
5,1409649740#0,0,8,8
5,1409649740#5,0,8,8
5,1409649743#0,0,14,14
5,1409652517#0,0,14,14
5,1409652518#1,0,14,14
5,1409652519#0,0,8,8
5,1409652521#0,0,14,14
5,1409652522#0,0,14,14
5,1422093911#0,0,14,14
5,165842957#0,0,14,14
5,170079040#0,0,8,8
5,237522635#0,0,8,8
5,237522639#0,0,14,14
5,237652077#0,0,14,14
5,237659844#0,0,14,14
5,237667614#0,0,8,8
5,237914520#0,0,14,14
5,237914522#0,0,14,14
5,237914526#0,0,14,14
5,237914527#0,0,14,14
5,237914527#3,0,14,14
5,237960945#0,0,14,14
5,237960945#5,0,14,14
5,237960947#0,0,14,14
5,237960949#0,0,14,14
5,237960949#4,0,14,14
5,238324877#0,0,8,8
5,238324880,0,14,14
5,238324885#0,0,14,14
5,238324885#2,0,14,14
5,238866887#0,0,14,14
5,238866888#0,0,14,14
5,238866888#4,0,14,14
5,238866891#0,0,14,14
5,240299472#0,0,8,8
5,240299472#4,0,8,8
5,240299472#8,0,8,8
5,243716769#0,0,14,14
5,257568501#0,0,14,14
5,257568505#0,0,14,14
5,284386839,0,14,14
5,293858815,0,14,14
5,294085168,0,8,8
5,294085176#0,0,8,8
5,294085176#3,0,8,8
5,294085184,0,3,3
5,294085186#0,0,14,14
5,295124095#0,0,14,14
5,295281240,0,8,8
5,295281241#0,0,8,8
5,295281241#6,0,8,8
5,295281241#9,0,8,8
5,295281242,0,3,3
5,295281481#0,0,14,14
5,303746218#0,0,8,8
5,31029328#0,0,14,14
5,397481042#0,0,14,14
5,422533866,0,8,8
5,43802774,0,6,6
5,43802775,0,3,3
5,43811853,0,6,6
5,450280362#0,0,14,14
5,450280363#0,0,14,14
5,4744966#0,0,14,14
5,4744972#0,0,14,14
5,4744972#3,0,14,14
5,4746923#0,0,8,8
5,4746923#3,0,8,8
5,4751998#2,0,14,14
5,4751998#6,0,14,14
5,4751998#9,0,14,14
5,490175814#0,0,8,8
5,498269278#0,0,8,8
5,50934034,0,6,6
5,526213091#0,0,14,14
5,526213093#0,0,14,14
5,536376961#0,0,8,8
5,536376965#0,0,14,14
5,536376968#0,0,8,8
5,542781427#0,0,14,14
5,542781428#0,0,14,14
5,544164277#0,0,14,14
5,544200294#0,0,14,14
5,544215269#0,0,14,14
5,658706630#0,0,8,8
5,671282474#0,0,3,3
5,673080415#0,0,8,8
5,675395642#0,0,14,14
5,675395643#0,0,8,8
5,675395643#4,0,8,8
5,74387522,0,3,3
5,749104302,0,8,8
5,86301093#0,0,3,3
5,86301093#14,0,3,3
5,86301093#20,0,3,3
5,86301093#3,0,3,3
5,86301093#6,0,3,3
5,86301093#9,0,3,3
5,878570268#0,0,8,8
5,891567020#0,0,8,8
5,903019486#0,0,8,8
5,903019486#5,0,8,8
5,903019487#0,0,14,14
5,905204606,0,8,8
5,905205417#0,0,8,8
5,905205418#0,0,8,8
5,908375867#0,0,14,14
5,908375870,0,3,3
5,908375871,0,8,8
5,908375872#2,0,14,14
5,908375872#4,0,14,14
5,908375875,0,3,3
5,98002400#0,0,14,14
10,-1191414433,0,6,6
10,-237652077#2,0,14,14
10,-237659844#6,0,14,14
10,-257568505#2,0,14,14
10,-294085186#2,0,14,14
10,-397481042#1,0,14,14
10,-544164277#2,0,14,14
10,-544617969,0,14,14
10,-908375867#1,0,14,14
10,108166018,0,6,6
10,1083818630#0,0,14,14
10,1083818630#4,0,14,14
10,1094457471#0,0,14,14
10,1112801401#0,0,14,14
10,1185662990#0,0,14,14
10,1191414433,0,6,6
10,1243743574#0,0,14,14
10,1243743574#2,0,14,14
10,132556736,0,6,6
10,1387061746#0,0,6,6
10,1408525896,0,8,8
10,1408525898#0,0,14,14
10,1408525899#0,0,14,14
10,1408687435#0,0,14,14
10,1408687438#0,0,14,14
10,1409641100#0,0,14,14
10,1409641100#1,0,14,14
10,1409641101#0,0,8,8
10,1409641101#4,0,8,8
10,1409641101#8,0,8,8
10,1409649739#0,0,14,14
10,1409649740#0,0,8,8
10,1409649740#5,0,8,8
10,1409649743#0,0,14,14
10,1409652517#0,0,14,14
10,1409652518#1,0,14,14
10,1409652519#0,0,8,8
10,1409652521#0,0,14,14
10,1409652522#0,0,14,14
10,1422093911#0,0,14,14
10,165842957#0,0,14,14
10,170079040#0,0,8,8
10,237522635#0,0,8,8
10,237522639#0,0,14,14
10,237652077#0,0,14,14
10,237659844#0,0,14,14
10,237667614#0,0,8,8
10,237914520#0,0,14,14
10,237914522#0,0,14,14
10,237914526#0,0,14,14
10,237914527#0,0,14,14
10,237914527#3,0,14,14
10,237960945#0,0,14,14
10,237960945#5,0,14,14
10,237960947#0,0,14,14
10,237960949#0,0,14,14
10,237960949#4,0,14,14
10,238324877#0,0,8,8
10,238324880,0,14,14
10,238324885#0,0,14,14
10,238324885#2,0,14,14
10,238866887#0,0,14,14
10,238866888#0,0,14,14
10,238866888#4,0,14,14
10,238866891#0,0,14,14
10,240299472#0,0,8,8
10,240299472#4,0,8,8
10,240299472#8,0,8,8
10,243716769#0,0,14,14
10,257568501#0,0,14,14
10,257568505#0,0,14,14
10,284386839,0,14,14
10,293858815,0,14,14
10,294085168,0,8,8
10,294085176#0,0,8,8
10,294085176#3,0,8,8
10,294085184,0,3,3
10,294085186#0,0,14,14
10,295124095#0,0,14,14
10,295281240,0,8,8
10,295281241#0,0,8,8
10,295281241#6,0,8,8
10,295281241#9,0,8,8
10,295281242,0,3,3
10,295281481#0,0,14,14
10,303746218#0,0,8,8
10,31029328#0,0,14,14
10,397481042#0,0,14,14
10,422533866,0,8,8
10,43802774,0,6,6
10,43802775,0,3,3
10,43811853,0,6,6
10,450280362#0,0,14,14
10,450280363#0,0,14,14
10,4744966#0,0,14,14
10,4744972#0,0,14,14
10,4744972#3,0,14,14
10,4746923#0,0,8,8
10,4746923#3,0,8,8
10,4751998#2,0,14,14
10,4751998#6,0,14,14
10,4751998#9,0,14,14
10,490175814#0,0,8,8
10,498269278#0,0,8,8
10,50934034,0,6,6
10,526213091#0,0,14,14
10,526213093#0,0,14,14
10,536376961#0,0,8,8
10,536376965#0,0,14,14
10,536376968#0,0,8,8
10,542781427#0,0,14,14
10,542781428#0,0,14,14
10,544164277#0,0,14,14
10,544200294#0,0,14,14
10,544215269#0,0,14,14
10,658706630#0,0,8,8
10,671282474#0,0,3,3
10,673080415#0,0,8,8
10,675395642#0,0,14,14
10,675395643#0,0,8,8
10,675395643#4,0,8,8
10,74387522,0,3,3
10,749104302,0,8,8
10,86301093#0,0,3,3
10,86301093#14,0,3,3
10,86301093#20,0,3,3
10,86301093#3,0,3,3
10,86301093#6,0,3,3
10,86301093#9,0,3,3
10,878570268#0,0,8,8
10,891567020#0,0,8,8
10,903019486#0,0,8,8
10,903019486#5,0,8,8
10,903019487#0,0,14,14
10,905204606,0,8,8
10,905205417#0,0,8,8
10,905205418#0,0,8,8
10,908375867#0,0,14,14
10,908375870,0,3,3
10,908375871,0,8,8
10,908375872#2,0,14,14
10,908375872#4,0,14,14
10,908375875,0,3,3
10,98002400#0,0,14,14
15,-1191414433,0,6,6
15,-237652077#2,0,14,14
15,-237659844#6,0,14,14
15,-257568505#2,0,14,14
15,-294085186#2,0,14,14
15,-397481042#1,0,14,14
15,-544164277#2,0,14,14
15,-544617969,0,14,14
15,-908375867#1,0,14,14
15,108166018,0,6,6
15,1083818630#0,0,14,14
15,1083818630#4,0,14,14
15,1094457471#0,0,14,14
15,1112801401#0,0,14,14
15,1185662990#0,0,14,14
15,1191414433,0,6,6
15,1243743574#0,0,14,14
15,1243743574#2,0,14,14
15,132556736,0,6,6
15,1387061746#0,0,6,6
15,1408525896,0,8,8
15,1408525898#0,0,14,14
15,1408525899#0,0,14,14
15,1408687435#0,0,14,14
15,1408687438#0,0,14,14
15,1409641100#0,0,14,14
15,1409641100#1,0,14,14
15,1409641101#0,0,8,8
15,1409641101#4,0,8,8
15,1409641101#8,0,8,8
15,1409649739#0,0,14,14
15,1409649740#0,0,8,8
15,1409649740#5,0,8,8
15,1409649743#0,0,14,14
15,1409652517#0,0,14,14
15,1409652518#1,0,14,14
15,1409652519#0,0,8,8
15,1409652521#0,0,14,14
15,1409652522#0,0,14,14
15,1422093911#0,0,14,14
15,165842957#0,0,14,14
15,170079040#0,0,8,8
15,237522635#0,0,8,8
15,237522639#0,0,14,14
15,237652077#0,0,14,14
15,237659844#0,0,14,14
15,237667614#0,0,8,8
15,237914520#0,0,14,14
15,237914522#0,0,14,14
15,237914526#0,0,14,14
15,237914527#0,0,14,14
15,237914527#3,0,14,14
15,237960945#0,0,14,14
15,237960945#5,0,14,14
15,237960947#0,0,14,14
15,237960949#0,0,14,14
15,237960949#4,0,14,14
15,238324877#0,0,8,8
15,238324880,0,14,14
15,238324885#0,0,14,14
15,238324885#2,0,14,14
15,238866887#0,0,14,14
15,238866888#0,0,14,14
15,238866888#4,0,14,14
15,238866891#0,0,14,14
15,240299472#0,0,8,8
